singular,plural,merged
intelligent transportation system,intelligent transportation systems,intelligent transportation system(s)
spin texture,spin textures,spin texture(s)
interference pattern,interference patterns,interference pattern(s)
intermediate step,intermediate steps,intermediate step(s)
failure mode,failure modes,failure mode(s)
auxiliary variable,auxiliary variables,auxiliary variable(s)
cuprate superconductor,cuprate superconductors,cuprate superconductor(s)
tidal deformability,tidal deformabilities,tidal deformability(ies)
wilson loop,wilson loops,wilson loop(s)
batch size,batch sizes,batch size(s)
ion beam,ion beams,ion beam(s)
video clip,video clips,video clip(s)
thermal bath,thermal baths,thermal bath(s)
probabilistic generative model,probabilistic generative models,probabilistic generative model(s)
pulse profile,pulse profiles,pulse profile(s)
confining potential,confining potentials,confining potential(s)
profound impact,profound impacts,profound impact(s)
line shape,line shapes,line shape(s)
projection operator,projection operators,projection operator(s)
concept drift,concept drifts,concept drift(s)
frequency shift,frequency shifts,frequency shift(s)
correlation length,correlation lengths,correlation length(s)
column density,column densities,column density(ies)
cubic lattice,cubic lattices,cubic lattice(s)
event rate,event rates,event rate(s)
competitive ratio,competitive ratios,competitive ratio(s)
massless scalar,massless scalars,massless scalar(s)
orbit interaction,orbit interactions,orbit interaction(s)
formation history,formation histories,formation history(ies)
target population,target populations,target population(s)
representative sample,representative samples,representative sample(s)
computer program,computer programs,computer program(s)
cohomology ring,cohomology rings,cohomology ring(s)
cognitive science,cognitive sciences,cognitive science(s)
channel dimension,channel dimensions,channel dimension(s)
composite material,composite materials,composite material(s)
bell inequality,bell inequalities,bell inequality(ies)
correlated electron,correlated electrons,correlated electron(s)
variable star,variable stars,variable star(s)
marked point,marked points,marked point(s)
betti number,betti numbers,betti number(s)
theoretical argument,theoretical arguments,theoretical argument(s)
rapid advance,rapid advances,rapid advance(s)
stochastic partial differential equation,stochastic partial differential equations,stochastic partial differential equation(s)
spintronic device,spintronic devices,spintronic device(s)
quantum electrodynamic,quantum electrodynamics,quantum electrodynamic(s)
volume scheme,volume schemes,volume scheme(s)
drastically reduce,drastically reduces,drastically reduce(s)
upper layer,upper layers,upper layer(s)
go theorem,go theorems,go theorem(s)
pre training data set,pre training data sets,pre training data set(s)
inverse temperature,inverse temperatures,inverse temperature(s)
fermi gas,fermi gases,fermi gas(es)
permutation group,permutation groups,permutation group(s)
correlation matrix,correlation matrices,correlation matrix (matrices)
siamese network,siamese networks,siamese network(s)
gas fraction,gas fractions,gas fraction(s)
binding model,binding models,binding model(s)
magnetized plasma,magnetized plasmas,magnetized plasma(s)
dzyaloshinskii moriya interaction,dzyaloshinskii moriya interactions,dzyaloshinskii moriya interaction(s)
black box optimization problem,black box optimization problems,black box optimization problem(s)
sharp interface,sharp interfaces,sharp interface(s)
equilibrium configuration,equilibrium configurations,equilibrium configuration(s)
digital twin,digital twins,digital twin(s)
periodic oscillation,periodic oscillations,periodic oscillation(s)
synthetic data set,synthetic data sets,synthetic data set(s)
hii region,hii regions,hii region(s)
initial boundary condition,initial boundary conditions,initial boundary condition(s)
harmonic map,harmonic maps,harmonic map(s)
speaker embedding,speaker embeddings,speaker embedding(s)
mr image,mr images,mr image(s)
alternative definition,alternative definitions,alternative definition(s)
naturally emerge,naturally emerges,naturally emerge(s)
friedmann equation,friedmann equations,friedmann equation(s)
side channel,side channels,side channel(s)
vertical velocity,vertical velocities,vertical velocity(ies)
significance level,significance levels,significance level(s)
cp phase,cp phases,cp phase(s)
spin asymmetry,spin asymmetries,spin asymmetry(ies)
positioning system,positioning systems,positioning system(s)
maximal ideal,maximal ideals,maximal ideal(s)
residual block,residual blocks,residual block(s)
thermal stability,thermal stabilities,thermal stability(ies)
model predictive controller,model predictive controllers,model predictive controller(s)
displacement field,displacement fields,displacement field(s)
hamiltonian cycle,hamiltonian cycles,hamiltonian cycle(s)
shear stress,shear stresses,shear stress(es)
collective motion,collective motions,collective motion(s)
distributed ledger,distributed ledgers,distributed ledger(s)
accurately detect,accurately detects,accurately detect(s)
lorentz force,lorentz forces,lorentz force(s)
yang mills theory,yang mills theories,yang mills theory(ies)
reaction mechanism,reaction mechanisms,reaction mechanism(s)
reinforcement learning paradigm,reinforcement learning paradigms,reinforcement learning paradigm(s)
input multiple output mimo system,input multiple output mimo systems,input multiple output mimo system(s)
small neighborhood,small neighborhoods,small neighborhood(s)
convolutional recurrent neural network,convolutional recurrent neural networks,convolutional recurrent neural network(s)
scene text,scene texts,scene text(s)
item interaction,item interactions,item interaction(s)
atomic nucleus,atomic nuclei,atomic nucleus (nuclei)
medical device,medical devices,medical device(s)
integro differential equation,integro differential equations,integro differential equation(s)
joint angle,joint angles,joint angle(s)
yang baxter equation,yang baxter equations,yang baxter equation(s)
quantum analogue,quantum analogues,quantum analogue(s)
decay mode,decay modes,decay mode(s)
device geometry,device geometries,device geometry(ies)
new frontier,new frontiers,new frontier(s)
pretrained transformer,pretrained transformers,pretrained transformer(s)
orbital angular momentum,orbital angular momenta,orbital angular momentum (momenta)
adversarial perturbation,adversarial perturbations,adversarial perturbation(s)
incompressible fluid,incompressible fluids,incompressible fluid(s)
update rule,update rules,update rule(s)
canonical transformation,canonical transformations,canonical transformation(s)
ground plane,ground planes,ground plane(s)
metal oxide,metal oxides,metal oxide(s)
predictive distribution,predictive distributions,predictive distribution(s)
massive scalar,massive scalars,massive scalar(s)
baryon density,baryon densities,baryon density(ies)
rotation rate,rotation rates,rotation rate(s)
bayesian neural network,bayesian neural networks,bayesian neural network(s)
successfully predict,successfully predicts,successfully predict(s)
surface morphology,surface morphologies,surface morphology(ies)
conversion efficiency,conversion efficiencies,conversion efficiency(ies)
convex program,convex programs,convex program(s)
network intrusion,network intrusions,network intrusion(s)
test suite,test suites,test suite(s)
microscopic origin,microscopic origins,microscopic origin(s)
pre training set,pre training sets,pre training set(s)
stability criterion,stability criteria,stability criterion (criteria)
doublet model,doublet models,doublet model(s)
finite union,finite unions,finite union(s)
open cluster,open clusters,open cluster(s)
